frame(1 sec = 60 frames), PosX, PosY, VelocityVector
518,0.0,-0.0,(372.0;-372.0)
519,368.28,366.45996,(368.28;-366.46)
520,732.8772,727.4353,(364.5972;-360.97537)
521,1093.8284,1082.981,(360.95123;-355.54562)
522,1451.1702,1433.1511,(357.34174;-350.17017)
523,1804.9385,1777.9995,(353.7683;-344.84845)
524,2155.1692,2117.5796,(350.23062;-339.57996)
525,2501.8975,2451.9438,(346.7283;-334.36414)
526,2845.1584,2781.1443,(343.26102;-329.2005)
527,3184.9868,3105.233,(339.8284;-324.0885)
528,3521.417,3424.2605,(336.4301;-319.02762)
529,3854.483,3738.2778,(333.06583;-314.01733)
530,4184.2183,4047.335,(329.73517;-309.05716)
531,4510.6562,4351.4814,(326.4378;-304.14658)
532,4833.8296,4650.7666,(323.17343;-299.2851)
533,5153.7715,4945.239,(319.9417;-294.47223)
534,5470.5137,5234.9463,(316.7423;-289.7075)
535,5784.0884,5519.9365,(313.5749;-284.99042)
536,6094.5273,5800.257,(310.43915;-280.3205)
537,6401.8623,6075.954,(307.33475;-275.6973)
538,6706.1235,6347.074,(304.2614;-271.12033)
539,7007.3423,6613.663,(301.2188;-266.5891)
540,7305.549,6875.766,(298.20663;-262.1032)
541,7600.7734,7133.428,(295.22458;-257.66217)
542,7893.046,7386.694,(292.27234;-253.26555)
543,8182.3955,7635.607,(289.3496;-248.91289)
544,8468.852,7880.2104,(286.45612;-244.60374)
545,8752.443,8120.5483,(283.59155;-240.33769)
546,9033.199,8356.662,(280.75565;-236.1143)
547,9311.147,8588.596,(277.9481;-231.93315)
548,9586.316,8816.39,(275.1686;-227.79381)
549,9858.733,9040.086,(272.41693;-223.69586)
550,10128.426,9259.725,(269.69275;-219.6389)
551,10395.422,9475.347,(266.99582;-215.6225)
552,10659.748,9686.993,(264.32587;-211.64627)
553,10921.431,9894.703,(261.68262;-207.70981)
554,11180.496,10098.516,(259.0658;-203.8127)
555,11436.972,10298.47,(256.47513;-199.95456)
556,11690.882,10494.6045,(253.91037;-196.13501)
557,11942.253,10686.958,(251.37126;-192.35365)
558,12191.11,10875.568,(248.85754;-188.6101)
559,12437.4795,11060.473,(246.36897;-184.90399)
560,12681.385,11241.708,(243.90529;-181.23494)
561,12922.851,11419.311,(241.46623;-177.60258)
562,13161.902,11593.317,(239.05157;-174.00655)
563,13398.563,11763.764,(236.66106;-170.44647)
564,13632.858,11930.686,(234.29445;-166.922)
565,13864.81,12094.118,(231.9515;-163.43277)
566,14094.441,12254.097,(229.63199;-159.97844)
567,14321.777,12410.655,(227.33566;-156.55865)
568,14546.84,12563.828,(225.0623;-153.17307)
569,14769.651,12713.649,(222.81168;-149.82132)
570,14990.235,12860.152,(220.58356;-146.5031)
571,15208.613,13003.37,(218.37772;-143.21806)
572,15424.808,13143.336,(216.19394;-139.96588)
573,15638.84,13280.082,(214.032;-136.74622)
574,15850.731,13413.641,(211.89168;-133.55875)
575,16060.504,13544.044,(209.77277;-130.40315)
576,16268.179,13671.323,(207.67503;-127.27911)
577,16473.777,13795.51,(205.59828;-124.186325)
578,16677.32,13916.634,(203.5423;-121.124466)
579,16878.828,14034.727,(201.50688;-118.09322)
580,17078.32,14149.819,(199.4918;-115.09229)
581,17275.816,14261.94,(197.49689;-112.12137)
582,17471.338,14371.12,(195.52191;-109.18015)
583,17664.904,14477.389,(193.5667;-106.26835)
584,17856.535,14580.774,(191.63103;-103.385666)
585,18046.25,14681.307,(189.71472;-100.53181)
586,18234.068,14779.013,(187.81758;-97.70649)
587,18420.008,14873.922,(185.9394;-94.909424)
588,18604.088,14966.0625,(184.08002;-92.14033)
589,18786.326,15055.461,(182.23921;-89.398926)
590,18966.742,15142.1455,(180.41682;-86.68494)
591,19145.355,15226.144,(178.61266;-83.998085)
592,19322.182,15307.481,(176.82652;-81.338104)
593,19497.24,15386.187,(175.05826;-78.70473)
594,19670.549,15462.284,(173.30768;-76.09768)
595,19842.123,15535.801,(171.5746;-73.5167)
596,20011.982,15606.763,(169.85886;-70.96153)
597,20180.143,15675.194,(168.16026;-68.431915)
598,20346.621,15741.122,(166.47865;-65.9276)
599,20511.436,15804.57,(164.81387;-63.448322)
600,20674.602,15865.564,(163.16574;-60.99384)
601,20836.135,15924.128,(161.53409;-58.5639)
602,20996.053,15980.286,(159.91875;-56.15826)
603,21154.373,16034.0625,(158.31956;-53.776676)
604,21311.11,16085.481,(156.73637;-51.41891)
605,21466.28,16134.566,(155.169;-49.08472)
606,21619.896,16181.34,(153.61731;-46.773872)
607,21771.979,16225.826,(152.08113;-44.486134)
608,21922.54,16268.048,(150.56032;-42.22127)
609,22071.594,16308.027,(149.05472;-39.979057)
610,22219.158,16345.786,(147.56418;-37.759266)
611,22365.246,16381.348,(146.08853;-35.561672)
612,22509.873,16414.734,(144.62764;-33.386055)
613,22653.055,16445.965,(143.18137;-31.232195)
614,22794.805,16475.066,(141.74956;-29.099873)
615,22935.137,16502.055,(140.33206;-26.988874)
616,23074.066,16526.953,(138.92874;-24.898987)
617,23211.605,16549.785,(137.53946;-22.829998)
618,23347.77,16570.566,(136.16406;-20.781698)
619,23482.572,16589.32,(134.80243;-18.753881)
620,23616.027,16606.066,(133.4544;-16.746344)
621,23748.146,16620.824,(132.11986;-14.758881)
622,23878.945,16633.615,(130.79866;-12.791292)
623,24008.436,16644.459,(129.49068;-10.84338)
624,24136.63,16653.375,(128.19577;-8.914947)
625,24263.545,16660.379,(126.91381;-7.005797)
626,24389.19,16665.496,(125.64468;-5.115739)
627,24513.578,16668.74,(124.38823;-3.2445812)
628,24636.723,16670.133,(123.14435;-1.3921354)
629,24758.635,16669.691,(121.9129;0.44178602)
630,24879.328,16667.434,(120.69377;2.257368)
631,24998.814,16663.379,(119.48683;4.054795)
632,25117.105,16657.545,(118.29196;5.834247)
633,25234.215,16649.95,(117.10904;7.595905)
634,25350.152,16640.61,(115.93795;9.339946)
635,25464.932,16629.543,(114.77857;11.066546)
636,25578.562,16616.766,(113.63078;12.775881)
637,25691.057,16602.299,(112.49448;14.468122)
638,25802.426,16586.156,(111.36953;16.14344)
639,25912.682,16568.354,(110.25584;17.802006)
640,26021.834,16548.91,(109.153275;19.443985)
641,26129.896,16527.84,(108.061745;21.069546)
642,26236.877,16505.16,(106.981125;22.67885)
643,26342.79,16480.889,(105.911316;24.272062)
644,26447.64,16455.04,(104.8522;25.84934)
645,26551.443,16427.629,(103.80368;27.410847)
646,26654.209,16398.672,(102.76564;28.956738)
647,26755.947,16368.184,(101.73798;30.48717)
648,26856.668,16336.182,(100.720604;32.0023)
649,26956.38,16302.68,(99.713394;33.502277)
650,27055.098,16267.692,(98.71626;34.987255)
651,27152.826,16231.235,(97.7291;36.457382)
652,27249.578,16193.322,(96.751816;37.912807)
653,27345.363,16153.969,(95.784294;39.35368)
654,27440.19,16113.188,(94.826454;40.780144)
655,27534.068,16070.996,(93.87819;42.19234)
656,27627.008,16027.405,(92.93941;43.590416)
657,27719.018,15982.431,(92.01001;44.97451)
658,27810.107,15936.086,(91.08991;46.344765)
659,27900.287,15888.385,(90.179016;47.701317)
660,27989.564,15839.341,(89.27723;49.044304)
661,28077.95,15788.967,(88.38446;50.37386)
662,28165.45,15737.276,(87.50062;51.69012)
663,28252.074,15684.283,(86.62561;52.993217)
664,28337.834,15630.0,(85.75935;54.283283)
665,28422.736,15574.439,(84.901764;55.56045)
666,28506.79,15517.614,(84.05275;56.82485)
667,28590.002,15459.538,(83.21222;58.0766)
668,28672.383,15400.223,(82.3801;59.315834)
669,28753.94,15339.68,(81.5563;60.542675)
670,28834.68,15277.923,(80.74074;61.757248)
671,28914.613,15214.963,(79.933334;62.959675)
672,28993.748,15150.8125,(79.134;64.15008)
673,29072.09,15085.484,(78.34266;65.328575)
674,29149.648,15018.989,(77.559235;66.49529)
675,29226.432,14951.339,(76.783646;67.65034)
676,29302.447,14882.545,(76.01581;68.79383)
677,29377.703,14812.619,(75.25565;69.925896)
678,29452.207,14741.572,(74.5031;71.04664)
679,29525.965,14669.416,(73.758064;72.15617)
680,29598.984,14596.161,(73.020485;73.25461)
681,29671.275,14521.819,(72.29028;74.342064)
682,29742.844,14446.4,(71.56738;75.41864)
683,29813.695,14369.916,(70.85171;76.48445)
684,29883.838,14292.376,(70.14319;77.539604)
685,29953.28,14213.792,(69.44176;78.584206)
686,30022.027,14134.174,(68.74734;79.61836)
687,30090.088,14053.531,(68.05986;80.64218)
688,30157.467,13971.875,(67.379265;81.65576)
689,30224.172,13889.216,(66.705475;82.6592)
690,30290.21,13805.563,(66.03842;83.65261)
691,30355.59,13720.928,(65.37804;84.636086)
692,30420.314,13635.318,(64.72426;85.609726)
693,30484.39,13548.745,(64.07702;86.57363)
694,30547.826,13461.217,(63.43625;87.52789)
695,30610.629,13372.744,(62.801888;88.47261)
696,30672.803,13283.336,(62.17387;89.40788)
697,30734.355,13193.002,(61.55213;90.3338)
698,30795.293,13101.752,(60.93661;91.250465)
699,30855.621,13009.594,(60.327244;92.15796)
700,30915.346,12916.537,(59.723972;93.05638)
701,30974.473,12822.591,(59.12673;93.945816)
702,31033.008,12727.765,(58.535465;94.826355)
703,31090.957,12632.066,(57.95011;95.69809)
704,31148.328,12535.505,(57.37061;96.56111)
705,31205.125,12438.09,(56.7969;97.4155)
706,31261.354,12339.828,(56.22893;98.261345)
707,31317.02,12240.7295,(55.66664;99.09873)
708,31372.129,12140.802,(55.109974;99.92774)
709,31426.688,12040.054,(54.558876;100.74847)
710,31480.701,11938.493,(54.013287;101.56098)
711,31534.174,11836.128,(53.473152;102.36537)
712,31587.111,11732.966,(52.93842;103.16172)
713,31639.52,11629.016,(52.409035;103.9501)
714,31691.404,11524.285,(51.884945;104.730606)
715,31742.77,11418.782,(51.366096;105.503296)
716,31793.621,11312.514,(50.852436;106.268265)
717,31843.965,11205.488,(50.34391;107.02558)
718,31893.805,11097.713,(49.84047;107.77532)
719,31943.146,10989.195,(49.342064;108.51757)
720,31991.996,10879.943,(48.848644;109.252396)
721,32040.355,10769.964,(48.360157;109.97987)
722,32088.232,10659.264,(47.876556;110.70007)
723,32135.63,10547.851,(47.39779;111.41307)
724,32182.555,10435.731,(46.923813;112.11894)
725,32229.01,10322.914,(46.454575;112.81775)
726,32275.0,10209.404,(45.99003;113.509575)
727,32320.53,10095.21,(45.53013;114.19448)
728,32365.604,9980.338,(45.07483;114.872536)
729,32410.229,9864.794,(44.62408;115.54381)
730,32454.406,9748.586,(44.17784;116.20837)
731,32498.143,9631.72,(43.73606;116.86628)
732,32541.441,9514.202,(43.298702;117.51762)
733,32584.307,9396.04,(42.865715;118.16244)
734,32626.744,9277.239,(42.437057;118.80081)
735,32668.756,9157.807,(42.012688;119.4328)
736,32710.348,9037.748,(41.59256;120.05847)
737,32751.523,8917.07,(41.176636;120.67789)
738,32792.29,8795.779,(40.76487;121.29111)
739,32832.645,8673.881,(40.35722;121.89819)
740,32872.598,8551.382,(39.953648;122.499214)
741,32912.152,8428.287,(39.55411;123.09422)
742,32951.312,8304.6045,(39.15857;123.68328)
743,32990.08,8180.338,(38.766983;124.26645)
744,33028.457,8055.494,(38.379314;124.84378)
745,33066.453,7930.0786,(37.99552;125.415344)
746,33104.07,7804.0977,(37.615566;125.98119)
747,33141.31,7677.556,(37.23941;126.54138)
748,33178.176,7550.46,(36.867016;127.09598)
749,33214.676,7422.815,(36.498344;127.64503)
750,33250.81,7294.6265,(36.13336;128.18858)
751,33286.582,7165.9,(35.77203;128.7267)
752,33321.996,7036.6406,(35.41431;129.25945)
753,33357.055,6906.8535,(35.06017;129.78687)
754,33391.766,6776.5444,(34.709568;130.309)
755,33426.13,6645.7188,(34.362473;130.82593)
756,33460.15,6514.381,(34.01885;131.33768)
757,33493.83,6382.5366,(33.67866;131.84431)
758,33527.17,6250.191,(33.341873;132.34589)
759,33560.18,6117.3486,(33.008453;132.84244)
760,33592.86,5984.0146,(32.678368;133.33401)
761,33625.21,5850.194,(32.351585;133.82068)
762,33657.24,5715.8916,(32.02807;134.30247)
763,33688.945,5581.1123,(31.707788;134.77946)
764,33720.336,5445.861,(31.39071;135.25168)
765,33751.414,5310.1416,(31.076803;135.71916)
766,33782.18,5173.9595,(30.766035;136.18198)
767,33812.637,5037.3193,(30.458374;136.64017)
768,33842.79,4900.2256,(30.15379;137.09378)
769,33872.64,4762.6826,(29.852251;137.54285)
770,33902.195,4624.6953,(29.553728;137.98743)
771,33931.453,4486.2676,(29.25819;138.42757)
772,33960.418,4347.4043,(28.965609;138.8633)
773,33989.094,4208.11,(28.675953;139.29468)
774,34017.484,4068.3882,(28.389193;139.72174)
775,34045.59,3928.2437,(28.1053;140.14453)
776,34073.414,3787.6807,(27.824247;140.5631)
777,34100.96,3646.7031,(27.546005;140.97748)
778,34128.23,3505.3154,(27.270546;141.38771)
779,34155.227,3363.5215,(26.99784;141.79384)
780,34181.953,3221.3257,(26.727863;142.1959)
781,34208.414,3078.7317,(26.460585;142.59395)
782,34234.61,2935.7437,(26.195978;142.98802)
783,34260.543,2792.3655,(25.93402;143.37814)
784,34286.22,2648.601,(25.674679;143.76437)
785,34311.637,2504.4543,(25.417933;144.14674)
786,34336.8,2359.9292,(25.163754;144.52528)
787,34361.715,2215.029,(24.912115;144.90004)
788,34386.38,2069.758,(24.662994;145.27104)
789,34410.797,1924.1198,(24.416365;145.63834)
790,34434.97,1778.1178,(24.172201;146.00195)
791,34458.9,1631.7559,(23.93048;146.36194)
792,34482.59,1485.0376,(23.691174;146.71832)
793,34506.043,1337.9663,(23.454262;147.07115)
794,34529.26,1190.5459,(23.219719;147.42044)
795,34552.25,1042.7797,(22.987522;147.76625)
796,34575.008,894.6711,(22.757647;148.1086)
797,34597.54,746.2236,(22.53007;148.44753)
798,34619.844,597.4405,(22.30477;148.78305)
799,34641.926,448.32526,(22.081722;149.11523)
800,34663.785,298.88116,(21.860905;149.44409)
801,34685.426,149.11151,(21.642296;149.76965)
